dataset,mistakes,total,config.EDGE_DETECTION.APERTURE,config.EDGE_DETECTION.HIGH_THRESHOLD,config.EDGE_DETECTION.LOW_THRESHOLD,config.LINE_DETECTION.THRESHOLD,config.LINE_REFINEMENT.LINE_THRESHOLD,config.MAX_OUTLIER_INTERSECTION_POINT_RATIO_PER_LINE,config.RANSAC.BEST_SOLUTION_TOLERANCE,config.RANSAC.OFFSET_TOLERANCE
VAL,35,146,3,500,100,200,3,0.7,0.1,0.2
VAL,144,146,3,100,100,200,3,0.5,0.1,0.2
VAL,118,146,3,500,120,250,3,0.7,0.1,0.15000000000000002
VAL,4,146,3,400,100,200,3,0.7,0.1,0.1
VAL,13,146,3,300,110,150,3,0.7,0.1,0.05
VAL,36,146,3,300,80,100,3,0.5,0.1,0.1
VAL,113,146,3,400,100,250,3,0.5,0.1,0.15000000000000002
VAL,10,146,3,450,140,150,3,0.7,0.1,0.1
VAL,70,146,3,150,150,100,3,0.5,0.1,0.1
VAL,116,146,3,300,100,250,3,0.5,0.1,0.2
VAL,18,146,3,250,140,150,3,0.5,0.1,0.15000000000000002
VAL,5,146,3,500,80,100,3,0.7,0.1,0.2
VAL,87,146,3,300,110,250,3,0.5,0.1,0.1
VAL,5,146,3,350,100,150,3,0.5,0.1,0.05
VAL,27,146,3,350,80,150,3,0.7,0.1,0.05
VAL,82,146,3,200,120,200,3,0.5,0.1,0.05
VAL,16,146,3,400,130,100,3,0.5,0.1,0.2
VAL,146,146,3,100,80,50,3,0.7,0.1,0.05
VAL,40,146,3,400,90,150,3,0.5,0.1,0.2
VAL,101,146,3,200,110,200,3,0.7,0.1,0.2
VAL,20,146,3,350,150,200,3,0.5,0.1,0.1
VAL,8,146,3,450,90,200,3,0.7,0.1,0.05
VAL,25,146,3,450,110,100,3,0.5,0.1,0.05
VAL,146,146,3,100,80,100,3,0.7,0.1,0.15000000000000002
VAL,104,146,3,200,80,100,3,0.5,0.1,0.1
VAL,15,146,3,250,150,150,3,0.7,0.1,0.05
VAL,4,146,3,500,100,200,3,0.7,0.1,0.1
VAL,111,146,3,450,120,250,3,0.7,0.1,0.15000000000000002
VAL,7,146,3,400,80,100,3,0.7,0.1,0.2
VAL,123,146,3,450,130,250,3,0.5,0.1,0.2
VAL,72,146,3,450,100,100,3,0.7,0.1,0.05
VAL,126,146,3,200,140,250,3,0.5,0.1,0.2
VAL,14,146,3,400,140,150,3,0.7,0.1,0.05
VAL,80,146,3,250,80,200,3,0.7,0.1,0.05
VAL,12,146,3,500,140,150,3,0.7,0.1,0.1
VAL,121,146,3,450,140,250,3,0.5,0.1,0.15000000000000002
VAL,16,146,3,350,130,100,3,0.5,0.1,0.2
VAL,101,146,3,200,80,200,3,0.5,0.1,0.05
VAL,104,146,3,400,110,250,3,0.5,0.1,0.1
VAL,27,146,3,350,150,100,3,0.5,0.1,0.05
VAL,26,146,3,400,150,200,3,0.5,0.1,0.1
VAL,83,146,3,250,110,200,3,0.7,0.1,0.2
VAL,62,146,3,300,90,150,3,0.5,0.1,0.2
VAL,21,146,3,450,110,150,3,0.7,0.1,0.2
VAL,109,146,3,250,110,250,3,0.7,0.1,0.15000000000000002
VAL,117,146,3,250,80,250,3,0.7,0.1,0.1
VAL,90,146,3,200,130,200,3,0.5,0.1,0.15000000000000002
VAL,56,146,3,450,150,100,3,0.7,0.1,0.05
VAL,67,146,3,200,130,150,3,0.7,0.1,0.1
VAL,83,146,3,350,90,250,3,0.5,0.1,0.05
VAL,6,146,3,450,130,150,3,0.5,0.1,0.1
VAL,146,146,3,100,90,100,3,0.7,0.1,0.05
VAL,16,146,3,500,130,150,3,0.5,0.1,0.15000000000000002
VAL,29,146,3,300,140,150,3,0.7,0.1,0.2
VAL,146,146,3,200,90,50,3,0.7,0.1,0.05
VAL,146,146,3,500,100,50,3,0.7,0.1,0.05
VAL,135,146,3,150,90,100,3,0.5,0.1,0.15000000000000002
VAL,10,146,3,400,80,150,3,0.5,0.1,0.05
VAL,7,146,3,250,140,150,3,0.5,0.1,0.05
VAL,56,146,3,300,80,150,3,0.7,0.1,0.05
VAL,119,146,3,400,80,250,3,0.7,0.1,0.2
VAL,106,146,3,150,120,100,3,0.5,0.1,0.2
VAL,97,146,3,200,150,200,3,0.5,0.1,0.2
VAL,43,146,3,450,100,200,3,0.7,0.1,0.2
VAL,142,146,3,100,90,200,3,0.5,0.1,0.1
VAL,100,146,3,200,80,200,3,0.7,0.1,0.05
VAL,105,146,3,200,100,100,3,0.5,0.1,0.05
VAL,4,146,3,350,120,100,3,0.7,0.1,0.15000000000000002
